EID,TYPECODE,LAWDATE,LAWAMOUNT,TARGET
427734,87367274,2014-08-01,80000,0
429630,101355679,2015-05-01,3660000,0
433792,60229568,2012-12-01,8600,0
433792,80341348,2014-01-01,8600,0
433792,75076353,2014-01-01,8600,0
433792,76458555,2014-02-01,8600,0
435667,99617609,2015-04-01,349700,0
435667,100724438,2015-02-01,1724700,0
435667,97769406,2014-12-01,21600,0
435667,101681705,2014-12-01,21600,0
435667,96525676,2015-01-01,0,0
435667,83557558,2014-06-01,8300,0
442646,68147637,2013-02-01,42600,0
445659,61739335,2013-05-01,61300,1
451115,91786149,2014-08-01,684500,0
451115,85061523,2014-08-01,684500,0
456025,100468363,2015-04-01,344800,1
476076,108860203,2014-12-01,26000,0
483849,61038858,2013-03-01,50000,0
487328,73353134,2013-10-01,1100000,1
491158,42440807,2012-09-01,25700,0
491158,93699215,2014-12-01,25700,0
493587,73326707,2013-11-01,96900,0
493587,73326711,2013-11-01,96900,0
493587,93701852,2014-12-01,247800,0
493587,61028187,2012-12-01,65700,0
493587,61028228,2012-12-01,35900,0
493587,61028271,2012-12-01,27400,0
493587,61028249,2012-12-01,145700,0
493587,61028210,2012-12-01,99700,0
501090,99028439,2015-01-01,2051500,0
501090,73324058,2013-10-01,26000,0
501090,73324053,2013-10-01,65600,0
501090,71039761,2013-12-01,0,0
501267,74999439,2014-01-01,15300,0
501267,97770605,2014-01-01,15300,0
501267,79558155,2014-01-01,15300,0
509563,76451005,2014-02-01,36800,0
509563,79624381,2014-02-01,36800,0
509563,91918447,2014-02-01,36800,0
511484,85050004,2014-07-01,56600,0
511484,85049985,2014-07-01,56900,0
511484,85060293,2014-07-01,56900,0
511484,85049991,2014-07-01,54200,0
517775,97774180,2014-03-01,7800,0
517775,79286415,2014-03-01,7800,0
517775,96520309,2015-01-01,900200,0
519208,103623939,2015-06-01,8000,1
519888,80067320,2014-02-01,40500,0
519888,76430210,2014-02-01,40400,0
519888,79619874,2014-02-01,40400,0
519888,75059389,2014-02-01,40500,0
4254,9389438,2015-06-01,1071000,0
4254,102153771,2015-06-01,1071000,0
4254,106236180,2015-08-01,15704700,0
4254,87373594,2013-07-01,18317700,0
4254,76455897,2014-02-01,718200,0
4254,75010356,2013-12-01,125700,0
4254,74999532,2013-07-01,32495100,0
4254,61545572,2013-04-01,1000000,0
4254,60296044,2013-01-01,32429400,0
4254,75010872,2013-12-01,13800,0
4254,75010361,2013-12-01,52100,0
4254,75010359,2013-12-01,125700,0
4254,75010353,2013-12-01,1800,0
4254,75010351,2013-12-01,46600,0
4254,75011258,2014-01-01,3000,0
4254,93819142,2014-12-01,1077500,0
4254,74996414,2014-01-01,8218800,0
4254,61883608,2013-05-01,12725100,0
4254,75011239,2014-01-01,142600,0
4254,100872168,2015-05-01,13800,0
4254,75011267,2014-01-01,57300,0
4254,80056958,2013-12-01,125700,0
4254,80056964,2013-12-01,46600,0
4254,75011254,2014-01-01,21600,0
4254,68726591,2013-07-01,18317700,0
4254,60044665,2013-01-01,320800,0
4254,75011250,2014-01-01,45900,0
4254,75011223,2014-01-01,47900,0
4254,75011264,2014-01-01,51600,0
4254,81340344,2014-03-01,295600,0
4254,76456106,2014-02-01,75000,0
4254,108993382,2015-07-01,4650000,0
4254,75011252,2014-01-01,53900,0
4254,75011260,2014-01-01,45300,0
4254,75011227,2014-01-01,46000,0
4254,75011707,2014-01-01,1875600,0
4254,103054639,2015-06-01,1071000,0
4254,75011248,2014-01-01,13700,0
4254,80056956,2013-12-01,125700,0
4254,75011273,2014-01-01,22200,0
4254,75011232,2014-01-01,2200,0
4254,81340610,2014-04-01,100000,0
4254,104198013,2015-07-01,4650000,0
4254,98412077,2013-04-01,1000000,0
4254,81340825,2014-05-01,113200,0
4254,100872173,2015-05-01,25900,0
4254,100872170,2015-05-01,66500,0
4254,91724735,2013-07-01,18317700,0
4254,80056960,2013-12-01,52100,0
4254,76456585,2014-03-01,295600,0
4254,75011270,2014-01-01,39900,0
4254,80324090,2013-07-01,32495100,0
4254,75011256,2014-01-01,2200,0
4254,79625228,2014-02-01,75000,0
4254,75011271,2014-01-01,32300,0
4254,75011262,2014-01-01,15100,0
4254,80057211,2013-12-01,13800,0
4254,79519563,2014-01-01,8218800,0
4254,80056954,2013-12-01,1800,0
4254,85062776,2014-07-01,23000,0
4254,81340562,2014-04-01,60000,0
4254,80073018,2014-02-01,718200,0
6455,67909943,2013-06-01,172400,0
7668,62164232,2013-06-01,45900,0
15074,97814050,2014-07-01,10400,0
15074,91921841,2014-07-01,10400,0
15074,85055993,2014-07-01,10400,0
16185,101299745,2015-05-01,14500,0
16185,101298743,2015-05-01,54700,0
20490,101093244,2015-05-01,0,1
23742,101093077,2015-05-01,3400,0
25103,93812791,2014-12-01,19100,0
29343,102297364,2015-04-01,3100,0
29343,101090593,2015-04-01,3100,0
29343,67779871,2013-08-01,2300,0
39159,101476173,2015-05-01,112100,0
39679,85554461,2014-03-01,2738000,1
39679,76456316,2014-03-01,2738000,1
39679,91684036,2014-03-01,2738000,1
41901,86962020,2013-04-01,501500,0
42856,85042453,2014-07-01,811800,1
42856,91775938,2014-07-01,811800,1
43276,91750834,2014-09-01,331300,0
44906,85272568,2014-08-01,32300,1
44906,87369589,2014-09-01,1940900,1
48540,61109644,2012-12-01,27200,0
50059,75077219,2014-02-01,97900,0
50059,85058905,2014-02-01,97900,0
55162,67902664,2013-06-01,15600,0
55162,67902663,2013-06-01,11800,0
58540,97941049,2014-11-01,44700,0
59297,99913998,2015-04-01,95000,0
59297,100385284,2015-04-01,73600,0
63680,85054645,2014-01-01,175000,0
63680,68729846,2013-07-01,131800,0
63680,68729885,2013-07-01,156900,0
63680,74999900,2014-01-01,175000,0
63680,97995156,2015-01-01,85000,0
63680,97995036,2015-01-01,10700,0
63680,97775616,2014-05-01,473600,0
63680,96528641,2015-01-01,3335500,0
63680,96491114,2015-01-01,82700,0
63680,96506357,2015-01-01,30300,0
63680,97995140,2015-01-01,31800,0
63680,97776318,2014-06-01,506900,0
63680,81337839,2014-05-01,473600,0
63680,104196753,2015-07-01,2885500,0
63680,109172883,2015-07-01,2885500,0
63680,96491116,2015-01-01,6500,0
63680,97995153,2015-01-01,77600,0
63680,10134460,2013-07-01,156900,0
63680,11509891,2013-07-01,131800,0
68635,98162570,2014-12-01,4893900,1
68635,93146851,2013-11-01,7680000,1
68635,92498673,2014-06-01,2121800,1
74210,76447925,2014-03-01,30000,0
74210,76447916,2014-03-01,32000,0
74210,76447919,2014-03-01,150000,0
74210,76447927,2014-03-01,50000,0
74210,76447903,2014-03-01,642000,0
74210,76447912,2014-03-01,100000,0
74210,76447914,2014-03-01,50000,0
74210,76447921,2014-03-01,30000,0
74210,76447905,2014-03-01,100000,0
74210,76447931,2014-03-01,50000,0
77171,76427069,2013-12-01,20500,0
77171,80297924,2013-12-01,20500,0
86481,85076365,2014-08-01,9400,0
86481,91701101,2014-08-01,9400,0
92547,85041484,2014-03-01,65700,1
92547,76444655,2014-03-01,65700,1
96270,81319784,2014-03-01,32700,0
96270,76431921,2014-03-01,32700,0
101128,99093217,2015-03-01,333500,1
101128,98625993,2015-03-01,668800,1
114273,85046842,2014-07-01,0,0
116492,80300649,2013-12-01,900,0
116492,76427237,2013-12-01,900,0
119119,91671656,2014-08-01,5613800,0
119119,85358800,2014-08-01,5613800,0
119119,67669944,2013-08-01,0,0
119119,81307426,2014-02-01,631000,0
119119,75060043,2014-02-01,631000,0
119119,43523842,2012-11-01,255700,0
122245,106067287,2015-08-01,40000,1
122245,107121392,2015-08-01,40000,1
126355,61931751,2013-05-01,1500000,0
129240,62768607,2013-07-01,42900,0
129240,87968622,2014-10-01,972000,0
138076,97928198,2015-02-01,10400,0
144438,96521275,2015-01-01,11300,1
144438,109047147,2014-12-01,157600,1
144438,97983363,2014-12-01,157600,1
147122,91810729,2014-01-01,99600,1
147122,75009180,2014-01-01,99600,1
147122,79524561,2014-01-01,99600,1
153649,86292895,2014-09-01,0,0
153649,99028823,2015-01-01,0,0
153649,89074390,2014-09-01,0,0
153649,98904644,2015-03-01,0,0
153649,92564329,2014-10-01,0,0
153649,79306886,2014-04-01,0,0
160441,111865225,2015-07-01,7425700,0
160441,111548909,2015-07-01,7425700,0
166002,99080860,2015-03-01,416400,0
166002,102977902,2015-03-01,416400,0
170848,97994790,2015-01-01,38900,0
170848,97994786,2015-01-01,56300,0
170848,96272029,2015-01-01,67200,0
170848,96505969,2015-01-01,46700,0
170848,87373388,2014-04-01,12000,0
170848,97994784,2015-01-01,38900,0
170848,97994778,2015-01-01,52700,0
170848,91694499,2014-04-01,12000,0
170848,91665668,2014-07-01,12129800,0
170848,97994770,2015-01-01,44900,0
170848,97994788,2015-01-01,52800,0
170848,97994792,2015-01-01,60900,0
170848,97994753,2015-01-01,59900,0
170848,82033057,2014-07-01,12129800,0
170848,96505945,2015-01-01,42300,0
170848,96505965,2015-01-01,229600,0
170848,96505949,2015-01-01,57200,0
170848,101426293,2015-05-01,38000,0
170848,97994773,2015-01-01,32900,0
170857,102623922,2015-06-01,25300,0
170857,102623920,2015-06-01,11200,0
175125,96511459,2014-12-01,32300,0
175125,81322107,2014-04-01,42000,0
175125,81322105,2014-04-01,33000,0
175125,81322100,2014-04-01,28000,0
180810,69224438,2012-11-01,60000,0
193664,108958642,2015-07-01,0,0
194194,44524057,2012-12-01,28000,0
194194,97782830,2014-09-01,35600,0
194194,91701743,2014-09-01,38900,0
194194,91701748,2014-09-01,38900,0
194194,91701755,2014-09-01,35600,0
213309,101819974,2015-05-01,11500,0
216002,101657057,2015-05-01,345200,1
216002,110596241,2015-05-01,1147500,1
216002,110596221,2015-05-01,345200,1
216002,101657059,2015-05-01,689300,1
216002,101091760,2015-05-01,200000,1
216002,101657063,2015-05-01,1147500,1
216002,108991765,2015-05-01,200000,1
216002,110596231,2015-05-01,689300,1
217536,107674949,2015-03-01,34600,0
217536,97924633,2015-03-01,34600,0
219351,87433397,2014-08-01,35500,0
219351,91703772,2014-08-01,35500,0
220166,99026501,2015-01-01,155700,0
220166,91752533,2014-09-01,39600,0
223085,111384004,2015-01-01,56409900,0
223085,73380972,2013-06-01,397800,0
226865,104980276,2015-07-01,493000,0
226865,105316757,2015-07-01,493000,0
226865,98909995,2015-03-01,790000,0
226865,88777081,2014-07-01,100,0
228042,106229515,2015-08-01,19200,0
228042,108956415,2015-08-01,19200,0
228042,104638229,2015-07-01,1407900,0
228042,85057272,2014-02-01,149200,0
228042,75075940,2014-02-01,149200,0
228042,104638224,2015-07-01,2469300,0
228042,104914941,2015-07-01,2469300,0
228042,104638231,2015-07-01,2519200,0
228042,67690645,2013-08-01,19500,0
228585,79914042,2013-12-01,275000,0
228585,75017037,2013-12-01,275000,0
231636,75027503,2014-01-01,4800,0
232135,76458834,2014-03-01,37800,0
232135,73343812,2013-10-01,134300,0
232135,80125010,2014-03-01,37800,0
242330,80297120,2013-12-01,1125700,0
242330,75020362,2013-12-01,1125700,0
245695,108901741,2015-08-01,15000000,1
245695,106072514,2015-08-01,15000000,1
245695,85045868,2014-07-01,5072400,1
245695,106431523,2015-08-01,725000,1
245695,106431528,2015-08-01,419400,1
249058,93877044,2014-12-01,8900,0
249058,99030388,2014-12-01,8100,0
249058,93877038,2014-12-01,9800,0
249058,93877041,2014-12-01,7900,0
249058,93877033,2014-12-01,9700,0
249058,110598349,2015-08-01,0,0
249058,106518378,2015-08-01,0,0
249058,106518379,2015-08-01,0,0
249058,42979107,2012-10-01,7700,0
249058,61126255,2013-02-01,12500,0
249115,103042951,2015-06-01,30000,0
249115,101820184,2015-05-01,38600,0
249115,67778236,2013-08-01,31100,0
249115,67778146,2013-08-01,29300,0
249115,102353215,2015-06-01,30000,0
249115,73366473,2013-08-01,38600,0
255161,67910567,2013-06-01,0,0
255894,83559287,2014-05-01,13300,0
255894,92707950,2014-10-01,11300,0
257369,83515915,2014-01-01,143800,0
257369,75076231,2014-01-01,143800,0
263946,41929905,2012-09-01,28800,1
264694,93757863,2014-07-01,246000,0
264694,85048955,2014-07-01,246000,0
270999,80294924,2013-11-01,23500,0
270999,76426554,2013-11-01,23500,0
270999,62087044,2013-04-01,2600,0
277237,74321267,2014-02-01,61000000,0
277237,73828924,2014-01-01,72916800,0
278358,31857949,2012-12-01,127400,0
290480,99029105,2014-08-01,2730600,0
290480,85061537,2014-08-01,2730600,0
300652,108755355,2015-07-01,526700,0
300652,104637307,2015-07-01,526700,0
300652,104330980,2015-07-01,1238700,0
300652,104332753,2015-07-01,2676400,0
304195,85073130,2014-08-01,751900,0
308756,76438652,2014-03-01,25700,0
323782,97814451,2014-06-01,200000,1
323782,91895296,2014-08-01,80000,1
323782,91895395,2014-08-01,240000,1
323782,91782286,2014-06-01,200000,1
323782,62140808,2013-05-01,80000,1
323782,108978640,2015-01-01,80000,1
323782,67915548,2013-07-01,263000,1
323782,80297357,2013-12-01,9500,1
323782,85066241,2014-08-01,240000,1
323782,67911726,2013-07-01,270000,1
323782,101355248,2015-05-01,87700,1
323782,80291711,2013-08-01,776500,1
323782,75021072,2013-12-01,150000,1
323782,73383247,2013-09-01,194800,1
323782,86293764,2014-09-01,80000,1
323782,81322433,2014-05-01,200000,1
323782,80297727,2013-12-01,150000,1
323782,66087175,2013-06-01,240000,1
323782,80294536,2013-10-01,213000,1
323782,106065339,2015-08-01,18000,1
323782,109152087,2015-05-01,87700,1
323782,109151811,2015-05-01,76100,1
323782,80293199,2013-09-01,194800,1
323782,66085109,2013-05-01,66100,1
323782,85060710,2014-08-01,80000,1
323782,66085055,2013-05-01,160100,1
323782,66087162,2013-06-01,240000,1
323782,81437950,2014-06-01,200000,1
323782,109152071,2015-05-01,900000,1
323782,101355244,2015-05-01,900000,1
323782,101169940,2015-05-01,76100,1
323782,97789056,2014-08-01,240000,1
323782,97788466,2014-08-01,80000,1
323782,91896084,2014-09-01,80000,1
323782,67911746,2013-07-01,66100,1
323782,62140883,2013-05-01,200000,1
323782,75020664,2013-12-01,9500,1
323782,81306220,2014-01-01,526100,1
323782,66087171,2013-06-01,240000,1
323782,80302564,2014-01-01,75000,1
323782,86796560,2014-09-01,80000,1
323782,75058783,2014-01-01,900000,1
323782,75058698,2014-01-01,526100,1
323782,75058610,2014-01-01,75000,1
323782,80302726,2014-01-01,900000,1
332469,79329862,2014-04-01,48200,0
333141,79939089,2013-12-01,0,0
333141,75020969,2013-12-01,0,0
333141,97803319,2013-12-01,0,0
333141,91778535,2013-12-01,0,0
340005,75006817,2013-12-01,107700,0
340005,80055155,2013-12-01,107700,0
357896,80122859,2014-04-01,4100,0
366007,104417020,2015-07-01,4400,0
366007,97967283,2014-12-01,192500,0
366007,97941901,2014-12-01,47200,0
366007,93541028,2014-12-01,47300,0
366007,102528236,2015-06-01,800,0
366007,108834738,2015-08-01,12200,0
366007,100871805,2015-05-01,15500,0
366007,103053084,2015-05-01,15500,0
366007,75062681,2014-02-01,38600,0
366007,85055140,2014-05-01,3300,0
366007,99545744,2015-04-01,46900,0
366007,109043860,2015-06-01,800,0
366007,97939651,2014-12-01,400,0
366007,105248323,2015-06-01,8800,0
366007,85049908,2014-07-01,9600,0
366007,106067166,2015-08-01,12200,0
366007,92553370,2014-11-01,3700,0
366007,107320249,2015-08-01,2300,0
366007,105248325,2015-06-01,8800,0
366007,107320240,2015-08-01,2500,0
366007,75024826,2013-11-01,310000,0
366007,62216387,2013-01-01,300,0
366007,61291132,2013-04-01,500,0
366007,76441527,2014-01-01,25600,0
366007,76441533,2014-01-01,25900,0
366007,98100964,2015-02-01,6200,0
366007,104248498,2015-07-01,1700,0
366007,104469714,2015-06-01,8800,0
366639,85049417,2014-02-01,918400,1
366639,75064041,2014-02-01,3726900,1
366639,85041461,2014-02-01,1522200,1
366639,99037823,2014-12-01,600,1
366639,93877436,2014-12-01,90400,1
366639,75058282,2014-02-01,1522200,1
366639,97799964,2014-02-01,150300,1
366639,85041459,2014-02-01,150300,1
366639,91669601,2014-03-01,55300,1
366639,93812808,2014-12-01,600,1
366639,85049429,2014-02-01,3726900,1
366639,85049421,2014-02-01,2347700,1
366639,96516411,2015-01-01,64100,1
366639,91739876,2014-09-01,201000,1
366639,75063955,2014-02-01,918400,1
366639,97935730,2014-12-01,64100,1
366639,96516338,2015-01-01,202600,1
366639,96516333,2015-01-01,48600,1
366639,96516409,2015-01-01,90400,1
366639,93877432,2014-12-01,48000,1
366639,93877430,2014-12-01,202000,1
366639,97799973,2014-02-01,1522200,1
366639,87767130,2014-09-01,201000,1
366639,85273596,2014-03-01,55300,1
366639,75063904,2014-02-01,2347700,1
366639,75058280,2014-02-01,150300,1
368592,86298136,2014-09-01,3000,0
368592,91767967,2014-09-01,3000,0
369392,67693347,2013-08-01,10600,0
373007,82768759,2014-07-01,30500,1
373256,82168536,2014-04-01,32281900,1
373256,87434300,2014-03-01,212400,1
373256,87434302,2014-03-01,282500,1
373256,91706298,2014-03-01,212400,1
373256,91706304,2014-03-01,282500,1
373256,83478405,2014-07-01,1710100,1
373256,85056872,2014-07-01,4547300,1
373256,92422936,2014-06-01,193700,1
373256,83478397,2014-07-01,1710100,1
373256,76432189,2014-03-01,282500,1
373256,97806502,2014-03-01,212400,1
373256,97787725,2014-07-01,1710100,1
373256,97806504,2014-03-01,282500,1
373256,91746941,2014-09-01,3040300,1
373256,91728648,2014-09-01,2013000,1
373256,91746952,2014-09-01,5016900,1
373256,87376074,2014-09-01,2013000,1
373256,76432187,2014-03-01,212400,1
373256,97787737,2014-07-01,1710100,1
373256,81460756,2014-06-01,193700,1
376845,91757088,2014-07-01,28800,1
379919,110343152,2015-07-01,18700,0
379919,104638320,2015-07-01,18700,0
380897,88438163,2014-10-01,10000,0
380897,97816494,2014-10-01,10000,0
384316,80119909,2014-03-01,17000,1
384316,93815363,2014-12-01,16200,1
384316,102986443,2014-12-01,18700,1
384316,103049336,2014-12-01,16200,1
384316,93816205,2014-12-01,18700,1
430157,75014303,2013-12-01,0,0
430157,72850245,2013-12-01,0,0
430252,110619008,2015-08-01,2300,1
430252,106297372,2015-08-01,2300,1
430896,44514321,2012-09-01,2930000,0
430896,75016690,2013-12-01,150100,0
439683,98908299,2015-03-01,48100,0
441980,60494670,2012-12-01,6000,0
457077,44136618,2012-11-01,2302100,0
478685,87369703,2014-04-01,24000,1
478685,91828691,2014-07-01,16000,1
478685,115747510,2013-01-01,5111500,1
478685,97796285,2014-07-01,16000,1
478685,61785752,2013-05-01,5013500,1
478685,91713460,2014-04-01,24000,1
478685,85049127,2014-07-01,16000,1
483110,97938682,2014-10-01,6000,0
490117,73332363,2013-09-01,55700,0
496203,107058369,2015-03-01,94400,0
496203,100112591,2015-04-01,145000,0
496203,98522212,2015-03-01,94400,0
496203,105317657,2015-07-01,4100,0
499216,41857391,2012-09-01,65000,0
500129,41992907,2012-09-01,73700,0
508119,75013548,2013-11-01,0,0
513739,68141425,2013-05-01,1802300,1
514419,75072409,2014-02-01,0,0
514419,75072398,2014-02-01,0,0
514419,75072387,2014-02-01,0,0
514419,106519550,2015-08-01,4225900,0
514419,112184006,2015-08-01,7031000,0
514419,105607457,2015-08-01,3689200,0
514419,112413293,2015-08-01,6013400,0
514419,106519588,2015-08-01,6171200,0
514419,106519577,2015-08-01,7031000,0
514419,112413352,2015-08-01,6171200,0
514419,106927783,2015-08-01,6248700,0
514419,112413325,2015-08-01,4225900,0
514419,106519538,2015-08-01,6013400,0
515442,105608794,2015-08-01,8200,0
515442,108910455,2015-08-01,8200,0
522346,90627033,2013-03-01,10000,0
522346,9388609,2012-12-01,10000,0
523754,62178789,2013-06-01,21400,0
525850,102431026,2015-04-01,60000,0
525850,105426868,2015-04-01,60000,0
525850,113185939,2015-04-01,60000,0
6758,90117394,2014-11-01,98600,0
6758,90655366,2014-09-01,6567200,0
6758,97433778,2014-09-01,6567200,0
12278,105030107,2015-07-01,80000,1
16284,60066950,2012-12-01,38100,0
16284,83569680,2014-05-01,20000,0
21987,112424351,2015-04-01,198200,0
21987,99588560,2015-04-01,198200,0
23309,73350387,2013-08-01,12200,0
23309,73350393,2013-08-01,12200,0
25058,106055539,2015-07-01,275600,0
25058,105314879,2015-07-01,275600,0
25058,104868068,2015-07-01,275600,0
25058,108908910,2015-07-01,275600,0
25058,101742578,2015-05-01,275600,0
28782,110577872,2015-06-01,2128400,1
28782,100523376,2015-04-01,1010400,1
28782,102620995,2015-06-01,37000,1
28782,102620998,2015-06-01,37000,1
28782,110577895,2015-06-01,37000,1
28782,102620992,2015-06-01,2128400,1
28782,110577918,2015-06-01,37000,1
28782,109150744,2015-04-01,1010400,1
30680,79938462,2013-12-01,1100,0
30680,73381668,2013-08-01,18200,0
30680,101303382,2015-05-01,60600,0
30680,75017122,2013-12-01,1100,0
30680,61041503,2013-01-01,27300,0
30680,73381670,2013-08-01,11400,0
30680,107769567,2015-05-01,60600,0
30680,97769588,2014-12-01,23600,0
36172,112752006,2015-08-01,9794500,0
36172,336511,2015-08-01,9794500,0
36172,91753379,2014-10-01,2500,0
36172,110721163,2015-08-01,9794500,0
36172,91753390,2014-10-01,2000,0
36172,74998839,2014-01-01,8030000,0
42011,60910013,2013-03-01,400,1
42011,67909312,2013-07-01,0,1
43045,110335174,2015-05-01,153100,0
43045,101117499,2015-05-01,153100,0
43725,62129863,2013-05-01,17800,1
44117,85070663,2014-08-01,27300,0
52521,76450195,2014-01-01,50000,1
53098,85066172,2014-08-01,130000,0
53098,91895387,2014-08-01,130000,0
53098,97789013,2014-08-01,130000,0
56976,99973837,2015-04-01,13500,0
60660,73325480,2013-06-01,59800,0
73651,93700480,2014-12-01,0,0
73651,106060767,2015-08-01,0,0
76905,105248829,2015-01-01,7600,0
94036,99058046,2015-02-01,4700,0
94036,83559196,2014-05-01,32700,0
96621,112378850,2015-01-01,144800,0
112695,13857853,2015-01-01,15125300,0
112695,108882253,2015-02-01,4000000,0
112695,96303501,2015-01-01,15125300,0
117705,106072130,2015-08-01,12700,0
117705,106072128,2015-08-01,2000,0
117705,106072126,2015-08-01,1200,0
117705,112095942,2015-08-01,9800,0
117705,112483688,2015-08-01,42400,0
117705,112095926,2015-08-01,14700,0
117705,112483878,2015-08-01,6500,0
117705,112483843,2015-08-01,20900,0
117705,112483825,2015-08-01,12700,0
117705,112483811,2015-08-01,17800,0
117705,112483792,2015-08-01,21900,0
117705,112483769,2015-08-01,9800,0
117705,112483758,2015-08-01,14700,0
117705,112483722,2015-08-01,12000,0
117705,112483703,2015-08-01,18000,0
117705,112483690,2015-08-01,19500,0
117705,112483650,2015-08-01,12700,0
117705,112108113,2015-08-01,21900,0
117705,111915546,2015-08-01,9800,0
117705,111915517,2015-08-01,14700,0
117705,111915509,2015-08-01,12000,0
117705,111915505,2015-08-01,18000,0
117705,111915499,2015-08-01,19500,0
117705,111915497,2015-08-01,42400,0
117705,111915590,2015-08-01,6500,0
117705,111915570,2015-08-01,20900,0
117705,111915562,2015-08-01,12700,0
117705,108899436,2015-08-01,8300,0
117705,108899430,2015-08-01,21900,0
117705,108899377,2015-08-01,8600,0
117705,112095993,2015-08-01,20900,0
117705,112095975,2015-08-01,17800,0
117705,112095915,2015-08-01,11700,0
117705,112095909,2015-08-01,12000,0
117705,112095901,2015-08-01,18000,0
117705,112095872,2015-08-01,42400,0
117705,112095852,2015-08-01,19200,0
117705,112095844,2015-08-01,12700,0
117705,112096014,2015-08-01,6500,0
117705,106072134,2015-08-01,42400,0
117705,105739079,2015-08-01,20900,0
117705,108899422,2015-08-01,9800,0
117705,106072132,2015-08-01,19200,0
117705,108899483,2015-08-01,5800,0
117705,106072144,2015-08-01,12000,0
117705,108899442,2015-08-01,17800,0
117705,110975878,2015-08-01,5800,0
117705,106072153,2015-08-01,21900,0
117705,106072138,2015-08-01,8600,0
117705,108899367,2015-08-01,42400,0
117705,106072146,2015-08-01,11700,0
117705,108899452,2015-08-01,12700,0
117705,106072164,2015-08-01,5800,0
117705,106072140,2015-08-01,19500,0
117705,108899415,2015-08-01,14700,0
117705,108899356,2015-08-01,19200,0
117705,106072158,2015-08-01,17800,0
117705,106072160,2015-08-01,12700,0
117705,106072148,2015-08-01,14700,0
117705,106072151,2015-08-01,9800,0
117705,106066494,2015-08-01,6500,0
117705,106072156,2015-08-01,8300,0
117705,106072142,2015-08-01,18000,0
117705,87371708,2014-07-01,13500,0
120886,97741157,2015-03-01,3347200,0
120886,102155265,2015-03-01,3347200,0
124641,99057661,2015-02-01,249500,1
125644,42508983,2012-10-01,60000,0
139056,44078413,2012-11-01,3000,0
151495,61770828,2013-05-01,14300,0
151495,61771080,2013-05-01,0,0
158394,73335150,2013-07-01,170000,1
166038,112380849,2015-06-01,1006900,0
171179,105242083,2015-05-01,17300,0
171179,101090540,2015-05-01,16600,0
171179,108908961,2015-08-01,6200,0
171179,103043345,2015-05-01,6200,0
171179,100499396,2015-04-01,13300,0
171179,101090492,2015-05-01,14300,0
171179,101817884,2015-05-01,16300,0
171179,101817888,2015-05-01,9800,0
171179,101090476,2015-05-01,7400,0
171179,101817932,2015-05-01,11000,0
171179,101817870,2015-05-01,13500,0
171179,101888409,2015-05-01,3600,0
171179,101817886,2015-05-01,13300,0
171179,101817892,2015-05-01,14500,0
171179,100499398,2015-04-01,16600,0
171179,101090482,2015-05-01,4500,0
171179,101090513,2015-05-01,3400,0
171179,102424967,2015-06-01,310100,0
171179,101817879,2015-05-01,16500,0
171179,102424908,2015-06-01,15500,0
171179,104600071,2015-07-01,5200,0
171179,104600004,2015-07-01,15400,0
171179,104913746,2015-07-01,15500,0
171179,105242079,2015-05-01,13700,0
171179,102424848,2015-06-01,17600,0
171179,105606008,2015-08-01,18300,0
171179,104525651,2015-07-01,15100,0
171179,106065936,2015-07-01,5100,0
171179,106065933,2015-07-01,8400,0
171179,105267059,2015-07-01,13200,0
171179,104525653,2015-07-01,13200,0
171179,106929486,2015-07-01,5600,0
171179,105606012,2015-08-01,15300,0
171179,107120249,2015-05-01,16300,0
171179,106954241,2015-05-01,13300,0
171179,108908969,2015-08-01,15200,0
171179,108831354,2015-07-01,17300,0
171179,108908867,2015-07-01,5800,0
171179,108908730,2015-07-01,16000,0
171179,108908710,2015-07-01,5100,0
171179,108831306,2015-05-01,16500,0
171179,103131835,2015-06-01,14000,0
171179,103131792,2015-06-01,15000,0
171179,103131827,2015-06-01,16500,0
171179,103043333,2015-05-01,7400,0
171179,103131829,2015-06-01,3400,0
171179,106055163,2015-06-01,14700,0
171179,104525668,2015-07-01,17900,0
171179,104525670,2015-07-01,10800,0
171179,104525672,2015-07-01,12400,0
171179,104525660,2015-07-01,16800,0
171179,102933670,2015-06-01,14400,0
171179,104913908,2015-07-01,5900,0
171179,104600023,2015-07-01,5800,0
171179,104600010,2015-07-01,9600,0
171179,108908767,2015-07-01,8100,0
171179,102424942,2015-06-01,14700,0
171179,103131833,2015-06-01,16500,0
171179,101090502,2015-05-01,5300,0
171179,108908880,2015-07-01,5100,0
171179,101090508,2015-05-01,4500,0
171179,101817876,2015-05-01,17400,0
171179,101888413,2015-05-01,5400,0
171179,101817894,2015-05-01,16700,0
171179,108908605,2015-06-01,15500,0
171179,103043355,2015-05-01,4500,0
171179,108908719,2015-07-01,16600,0
171179,104600067,2015-07-01,20300,0
171179,104525662,2015-07-01,15500,0
171179,104525664,2015-07-01,6000,0
171179,104600006,2015-07-01,6400,0
171179,101817928,2015-05-01,18100,0
171179,104525666,2015-07-01,16500,0
171179,100499427,2015-04-01,16400,0
171179,104600080,2015-07-01,5900,0
171179,108908724,2015-07-01,16300,0
171179,101817881,2015-05-01,14800,0
171179,101090484,2015-05-01,13700,0
171179,104913715,2015-07-01,15100,0
171179,101817930,2015-05-01,15300,0
171179,104525656,2015-07-01,5600,0
